Athlete,Rating,Number Of Races
"Farah, Mo",1614.2710178978596,4
"Gebrhiwet, Hagos",1595.557414257865,6
"Edris, Muktar",1572.0041096841082,8
"Chelimo, Paul",1570.1220731628798,6
"Ahmed, Mohammed",1546.115478305088,4
"Butchart, Andrew",1545.191735305627,5
"Lagat, Bernard",1545.1763380324371,4
"Cheptegei, Joshua",1542.1020510781814,4
"Rop, Albert",1538.3955116855836,6
"Osman, Abrar",1533.1191398091462,2
"Kejelcha, Yomif",1530.727972570221,6
"Gebremeskel, Dejen",1530.501082748427,3
"Gelant, Elroy",1529.4217611547476,2
"Balew, Birhanu",1528.800204879279,3
"Jeilan, Ibrahim",1524.1648608421133,2
"Torrence, David",1523.8467915016956,2
"Iguider, Abdelaati",1519.4483916294541,4
"Kwemoi, Ronald",1517.3362506530473,1
"Robinson, Brett",1513.9761951680466,5
"Kamworwor, Geoffrey",1512.978412155737,1
"Jager, Evan",1511.702332045265,1
"Kiptanui, Matthew",1503.1998280742996,1
"Demelash, Yigrem",1503.136415821688,1
"Maiyo, Hillary",1500.5071139190866,2
"Embaye, Abadi",1500.3852864970056,2
"Kipkoech, John",1500.2840747349371,1
"Longosiwa, Thomas",1500.144520776062,5
"Mikhou, Sadik",1499.759025747919,1
"Berihu, Salomon",1498.9442686263587,1
"Awad, Zouhair",1498.8362146048676,1
"Kangogo, Cornelius",1498.741038247923,1
"Gregson, Ryan",1498.7172030977624,1
"Taylor, Jonathan",1498.4971372233106,1
"Al Amri, Tariq",1498.2175442307937,1
"Ayele, Abayneh",1498.1953470669903,1
"Kibiwott, Abraham",1498.1871261401413,1
"Hill, Ryan",1497.8740094536106,4
"Koech, Paul",1497.8552582008426,1
"Kipsang, Emmanuel",1497.8442818070978,1
"Weir, Richard",1497.838590518555,1
"Haileselassie, Yemane",1497.6200897460367,1
"Griffiths, Dewi",1497.3793869240328,1
"Mokoka, Stephen",1497.1987456150116,1
"Mead, Hassan",1497.0238759779654,2
"Tamire, Getaneh",1496.9581677485608,1
"Mekhissi, Mahiedine",1496.912269365734,1
"Kipruto, Conseslus",1496.5444933737626,1
"Gashahun, Abe",1496.5352507456125,1
"St. Lawrence, Ben",1496.2979173973495,2
"Amdouni, Morhad",1496.1400762452868,1
"Jenkins, Eric",1496.0365864613989,1
"Tadese, Zersenay",1495.3592982678426,1
"Debela, Dejene",1494.7642144117635,2
"Rutto, Cyrus",1494.6769089421011,2
"Bacha Regasa, Zelalem",1494.5442660133444,1
"Levins, Cameron",1493.641277330682,1
"True, Ben",1493.57447564643,3
"Millington, Ross",1493.5167538700607,1
"Haji, Yasin",1493.5028665538675,1
"Alamirew, Yenew",1493.0262468842373,4
"Buraas, Sindre",1492.4541664823316,1
"Yoroizaka, Tetsuya",1492.4349552623971,1
"Birgen, Bethwell",1492.3324873322476,4
"Kowal, Yoann",1492.2695848346716,2
"Legese, Birhanu",1492.2630844021726,1
"Muneria, Charles",1491.7745168962094,1
"Essalhi, Younés",1491.7723298408025,1
"Nkhasi, Namakoe",1491.6799504674166,1
"D'Hoedt, Jeroen",1491.525541346936,2
"Kiplimo, Jacob",1491.4711171348642,2
"Irabaruta, Olivier",1491.3602063059525,1
"Campbell, Kemoy",1491.2210959261913,1
"McEntee, Sam",1491.1424179748738,1
"Bruchet, Lucas",1490.8645937404415,1
"Ringer, Richard",1490.520881805433,1
"Abdi, Bashir",1490.3719895848722,2
"Mullett, Rob",1490.3255124934194,1
"Chelanga, Samuel",1490.3032133265176,1
"Nftalem, Awet",1490.2927977374613,1
"Kifle, Aron",1490.1363154837327,1
"Alotaibi, Mukhlid",1490.0900077475949,1
"Duo, Bujie",1489.9209719022656,1
"Murayama, Kota",1489.530584359463,1
"Ayalew, Aweke",1489.2619692404846,2
"Rimal, Hari",1488.7568353518836,1
"Tanui, Paul",1487.8191495620404,3
"Merga, Imane",1487.7470075734796,2
"Mohamed, Mohamed Daud",1487.5504629160525,1
"Siosi, Rosefelo",1485.0272318250934,1
"Al-Amri, Tariq",1484.4331884687797,1
"Abadia, Antonio",1484.3069453709063,1
"Mechaal, Adel",1484.1586875995306,2
"Kaya, Ali",1484.1574446390664,1
"Chitsala, Kefasi",1483.8645558730645,1
"San Naing, San Naing",1482.9124693746755,1
"Bouqantar, Soufiyan",1482.5893984551224,2
"Ibrahimov, Hayle",1482.3509602692684,5
"Osako, Suguru",1482.1837582762785,1
"Fifa, Illias",1480.7381850138352,1
"Leitao, Romario",1480.5334267020264,1
"Farrell, Thomas",1479.6125128358483,2
"Soi, Edwin",1479.5302840241475,7
"Tewelde, Hiskel",1478.562136678684,1
"Orth, Florian",1475.0785861755762,1
"Ndiku, Caleb",1474.8998671521872,3
"Tiernan, Patrick",1468.8943851551255,1
"Koech, Isiah",1454.5589213800906,5
"Kipyeko, Phillip",1411.03673082134,1
