Athlete,Rating,Number Of Races
"Cheruiyot, Timothy",1766.0621722740534,22
"Manangoi, Elijah",1594.9045659376447,21
"Ingebrigtsen, Jakob",1569.303657289137,10
"Souleiman, Ayanleh",1567.6252246297272,19
"Kibet, Vincent",1545.708132172564,20
"Lewandowski, Marcin",1539.2954189348352,10
"Centrowitz, Matthew",1533.1422569011247,11
"Ingebrigtsen, Filip",1528.9654517607287,19
"Kwemoi, Ronald",1527.9191381165822,9
"Musagala, Ronald",1526.9119331636246,7
"Makhloufi, Taofik",1526.3757514698095,7
"Kiprop, Asbel",1526.1232535401834,16
"O'Hare, Chris",1524.3908514429957,14
"McSweyn, Stewart",1521.0607719850168,3
"Akankam, Hicham",1518.9350924034911,2
"Tefera, Samuel",1518.2280558171058,8
"Kaazouzi, Brahim",1515.4836256500653,7
"Brannen, Nathan",1514.3596665970922,4
"Wightman, Jake",1510.9087185418607,9
"Andrews, Robby",1510.6906178933389,5
"Kiplagat, Silas",1509.8983048790521,13
"Chelimo, Paul",1505.0093440837675,1
"Iguider, Abdelaati",1504.6367311636209,17
"Mikhou, Sadik",1504.595482249732,7
"Simotwo, Charles",1504.2539245555042,12
"Grice, Charles",1503.6730277552845,10
"Farah, Mo",1500.8723443398785,1
"Bustos, David",1500.8348487341827,4
"Mekhissi, Mahiedine",1500.6048585390115,1
"Hiss Bachir, Youssouf",1500.355485152298,1
"Ahmed, Mohammed",1499.8048985691648,1
"Mouhyadin, Abdi",1499.62799476837,1
"Blankenship, Ben",1499.0866860812903,11
"Engels, Craig",1499.0195605947938,2
"Miellet, Alexis",1498.9819844506612,2
"Bruno, Federico",1498.9205405107132,1
"Casey, Patrick",1498.8921138856601,1
"Emanuel, Lee",1498.7895416934837,1
"Essalhi, Younés",1498.775469169891,1
"Biwott, Robert",1498.7114917995966,6
"Moukrime, Tarik",1498.367982703467,1
"Grice, Charlie",1498.2367792337732,3
"Magut, James",1498.0736711402988,2
"Philibert-Thiboutot, Charles",1498.0207689726658,4
"Moustaoui, Mohamed",1497.6459951123438,1
"Tesfaye, Homiyu",1497.4310670080124,7
"Hlaselo, Dumisane",1497.280553612628,2
"Nabil, Oussama",1497.2401276627163,1
"Aden, Said",1497.1945881564893,1
"Manzano, Leo",1497.1882288816205,1
"Manangoi, George",1497.1879331037408,5
"Hairane, Jamal",1497.1386593083255,1
"Torrence, David",1497.1017237039114,4
"Abdikadar Sheik Ali, Mohad",1497.0825004359333,1
"Marshall, Tom",1497.0473356656846,1
"Jager, Evan",1496.907824086223,2
"Amdouni, Morhad",1496.7981700464954,2
"Willis, Nick",1496.7381942947184,13
"Kimeli, Isaac",1496.6860508672464,1
"Alonso, Carlos",1496.4565952023108,1
"Abdikadar, Mohad",1496.4122278603588,1
"Mechaal, Adel",1496.2606413552219,7
"Murphy, Clayton",1496.0817824354328,4
"Kerr, Josh",1495.9955823270188,1
"Lancashire, Thomas",1495.9588387679557,2
"Denissel, Simon",1495.9418132193537,1
"Tolosa, Teresa",1495.7358719821939,6
"Ngetich, Hillary",1495.53936173354,2
"West, James",1495.4785985697629,1
"Anou, Abderrahmane",1495.3424544817035,1
"Rozmys, Michal",1495.2709587684246,2
"Holusa, Jakub",1495.1534751547501,15
"Kidder, Brannon",1495.0535035843247,1
"Mischler, Baptiste",1495.0437990064731,1
"Gourley, Neil",1494.1833866229674,2
"Saddedine, Alexandre",1494.1250776262011,1
"Yorks, Izaic",1494.0711054192354,1
"Enzema, Benjamin",1494.063771478196,1
"Essalhi, Youness",1493.973557126627,1
"Dixon, Harvey",1493.9577460219018,1
"Rotich, Ferguson",1493.9222922123772,1
"Rogestedt, Johan",1493.225749953373,2
"Gebremedhin, Mekonnen",1493.209503774417,2
"Dahmani, Samir",1492.9199709132295,1
"Lopez, Kevin",1492.682924192484,1
"Cheboi, Collins",1492.660404676166,3
"Gregorek, John",1492.4424505762047,6
"Sasinek, Filip",1492.4406283988985,1
"Bellemore, Corey",1492.2104621394626,1
"Lobalu, Dominic",1492.1859920244246,1
"Tiouali, Mohammed",1492.1307229455676,1
"Hannes, Pieter-Jan",1492.085708595342,5
"Alcala, Marc",1491.759901549729,2
"Fitzgibbon, Robbie",1491.6362048261572,2
"Selmouni, Sofiane",1491.2617456603446,2
"Lemi, Teddese",1490.904223783132,1
"Hunter, Andrew",1490.7655433466516,3
"Tison, Quentin",1490.6862113587576,1
"Kenyi, Santino",1490.4452716436213,1
"Avila, Eric",1490.1008949592153,1
"Alzaabi, Saud",1490.079716149798,1
"Luo, Yuxi",1490.01471301202,1
"Amotun, Paulo",1489.8959424068876,1
"Ingebrigtsen, Henrik",1489.8917501506558,8
"Taki, Kumari",1489.8219057975562,2
"Soares, Agusto",1489.7714221275864,1
"Wolde, Dawit",1489.6548776523878,7
"Weinans, Valentijn",1489.5971940314564,1
"Ouladha, Hicham",1489.427624624332,2
"Douma, Richard",1489.0102342866546,2
"Saifeldin, Muhand",1488.592141814431,1
"Benitz, Timo",1488.5717584686734,4
"Heyward, Jake",1488.1459694268235,2
"Rageh, Mohammed",1487.971318201142,1
"Williamsz, Jordan",1486.8172425702392,9
"Bayer, Andrew",1486.5853870768603,3
"Mousab, Adam",1486.4544891855246,3
"Birgen, Bethwell",1486.2332574142717,19
"Ozbilen, Ilham",1485.9593528816226,1
"Crippa, Yemaneberhan",1485.6047690259913,2
"Engholm, Elmar",1485.0954531320015,1
"Youssouf, Idriss",1484.1606485861296,1
"Carvalho, Florian",1483.2920053232278,4
"Berglund, Kalle",1482.8400291587666,6
"Seurei, Benson",1482.061155877531,4
"Kiprono, Brimin",1481.8362289575452,2
