Athlete,Rating,Number Of Races
"Kiprop, Asbel",1691.1332570326435,7
"Kwemoi, Ronald",1622.6762195034407,3
"Manangoi, Elijah",1614.1551211083129,6
"Iguider, Abdelaati",1613.1474858996544,5
"Makhloufi, Taofik",1598.6891242870693,5
"Willis, Nick",1592.0814226299,4
"Souleiman, Ayanleh",1584.2327759159934,2
"Centrowitz, Matthew",1584.2327759159934,2
"Gregson, Ryan",1583.0164917042518,8
"Musagala, Ronald",1581.9660512356284,2
"Brannen, Nathan",1581.0253986987861,3
"Blankenship, Ben",1580.0926457157589,3
"Cheruiyot, Timothy",1559.259872891704,2
"Kiplagat, Silas",1555.573378687272,6
"Grice, Charles",1543.6167864982046,3
"Bustos, David",1539.3990166219357,1
"Andrews, Robby",1536.4583333333333,1
"Kibet, Vincent",1507.7971700151604,4
"El Kaam, Fouad",1505.2094271996025,3
"Farah, Mo",1504.0386312031424,1
"Biwott, Robert",1500.9949525716418,3
"Rogestedt, Johan",1498.654092508664,1
"Mouhyadin, Abdi",1498.2777535572684,1
"Wightman, Jake",1495.4593178913585,2
"Wote, Aman",1494.6491939373368,3
"Emanuel, Lee",1494.3960263587219,1
"Essalhi, Younés",1494.330875786533,1
"Jager, Evan",1493.2159519289619,1
"Bayer, Andrew",1492.6542552218816,1
"Moukrime, Tarik",1492.4443643679037,1
"Kaazouzi, Brahim",1491.2635221518256,2
"Magut, James",1491.081810834717,2
"Tesfaye, Homiyu",1490.994533954384,4
"Philibert-Thiboutot, Charles",1490.836893391972,4
"Douma, Richard",1489.2498033981076,1
"Moustaoui, Mohamed",1489.1018292238143,1
"Hlaselo, Dumisane",1487.409970428834,2
"Nabil, Oussama",1487.222813253317,1
"Benitz, Timo",1487.210516032786,1
"Cheboi, Collins",1487.0639647120706,1
"Manzano, Leo",1486.982541118612,1
"Birgen, Bethwell",1486.94647496406,3
"Amdouni, Morhad",1485.1767131782183,2
"Ingebrigtsen, Filip",1483.814717347101,2
"Mousab, Adam",1483.6871340198584,2
"Alonso, Carlos",1483.5953481588465,1
"Abdikadar, Mohad",1483.3899437979583,1
"Hunter, Andrew",1482.981978053484,1
"O'Hare, Chris",1482.4015433937166,4
"Lancashire, Thomas",1481.290920222017,2
"Ingebrigtsen, Henrik",1473.8185569327081,6
"Hannes, Pieter-Jan",1471.4014823965895,4
"Wolde, Dawit",1469.2871605895348,6
"Holusa, Jakub",1469.0444333917244,4
"Gebremedhin, Mekonnen",1468.5625174741544,2
"Kenyi, Santino",1455.7651464982464,1
"Alzaabi, Saud",1454.0727599527675,1
"Amotun, Paulo",1453.2219555874426,1
"Soares, Agusto",1452.6454728129017,1
"Andre, Thiago",1451.1062555036444,1
"Rodriguez, Erick",1445.0794484363869,1
"Rageh, Mohammed",1444.31165833862,1
"Mechaal, Adel",1443.9252303459282,1
"Ozbilen, Ilham",1434.9970040815856,1
"Seurei, Benson",1434.3876950089088,2
"Carvalho, Florian",1422.6481727927212,4
"Carson, Hamish",1404.9746514639987,1
"Matthews, Luke",1343.9792707145677,2
"Keddar, Salim",1342.1899858138097,2
