Athlete,Rating,Number Of Races
"Edris, Muktar",1590.779446791729,2
"Kamworwor, Geoffrey",1521.6306869262285,1
"Iguider, Abdelaati",1515.0993867243867,1
"Cheptegei, Joshua",1512.3116149215653,2
"Longosiwa, Thomas",1511.9558485383347,2
"Ahmed, Mohammed",1510.6129092524613,1
"Ibrahimov, Hayle",1505.3554665713054,1
"Embaye, Abadi",1503.0037070080184,1
"Mechaal, Adel",1502.1309940088547,1
"Kipkoech, John",1500.4734578915618,1
"Kejelcha, Yomif",1499.8616350413308,1
"Debela, Dejene",1499.4259178524228,1
"Mead, Hassan",1499.3215361733023,1
"Maiyo, Hillary",1498.66883965555,1
"Awad, Zouhair",1498.0603576747792,1
"Gebrhiwet, Hagos",1497.6468022765494,1
"Bouqantar, Soufiyan",1497.52115710051,1
"Ayele, Abayneh",1496.9922451116506,1
"Kipsang, Emmanuel",1496.407136345163,1
"Rop, Albert",1495.9359080775948,1
"Soi, Edwin",1495.857841487862,2
"St. Lawrence, Ben",1495.6396231544616,1
"Koech, Isiah",1495.2400762422992,1
"Merga, Imane",1494.5080149497933,1
"Gashahun, Abe",1494.2254179093543,1
"Ndiku, Caleb",1494.0508819298786,1
"True, Ben",1492.989031694084,1
"Tanui, Paul",1491.9285953742738,1
"Chelimo, Paul",1490.7783755751595,1
"Alamirew, Yenew",1490.6891945734271,2
"Ayalew, Aweke",1490.6877612706069,1
"Levins, Cameron",1489.4021288844701,1
"Haji, Yasin",1489.1714442564462,1
"Hill, Ryan",1487.49110936966,1
"Legese, Birhanu",1487.105140670287,1
"Chelanga, Samuel",1483.838688877529,1
"Duo, Bujie",1483.2016198371093,1
